English,Polish
part,czesc
history,historia
search,szukaj
only,tylko
police,Policja
thought,mysl
help,pomoc
request,wniosek
kind,Uprzejmy
month,miesiac
brother,brat
let,pozwalac
because,poniewaz
to put,umiescic
no,NIE
leash,smycz
them,ich
city,miasto
each,kazdy
speak,mowic
come,przychodzic
should,powinien
baby,Dziecko
long time,dlugo
hours,godziny
will,bedzie
while,chwila
meet again,spotkac sie ponownie
any,kazdy
square,kwadrat
speak,mowic
understood,zrozumiany
knew,wiedzial
were,byl
Warning,Ostrzezenie
here is,tutaj jest
could,mogl
case,sprawa
give,dawac
type,typ
their,ich
given,dany
train,pociag
body,cialo
place,miejsce
eyes,oczy
way,sposob
listen,Sluchac
whose,ktorego
find,znajdowac
first,Pierwszy
lost,zaginiony
hand,reka
first,Pierwszy
side,strona
power,moc
old,stary
be,Byc
here,Tutaj
morning,Poranek
so much,az tak bardzo
child,dziecko
point,punkt
came,wszedl
after,Po
sorry,Przepraszam
come,przychodzic
in front of,przed
towards,w kierunku
minutes,protokol
request,wniosek
bedroom,sypialnia
placed,umieszczony
beautiful,Piekny
law,prawo
would like to,chcialbym
today,Dzisiaj
husband,maz
cause,przyczyna
finally,Wreszcie
hope,miec nadzieje
water,woda
Wait,Czekac
left,lewy
new,nowy
job,stanowisko
Stop,Zatrzymywac sie
would say,powiedzialby
Earth,Ziemia
account,konto
given,dany
far,daleko
end,koniec
believe,uwazac
sweetheart,kochanie
large,duzy
rather,raczej
will have,bedzie mial
girls,dziewczyny
to play,grac
office,biuro